pct,month,total_list_size
09G,2012-03-01 00:00:00+00:00,483280
07V,2012-03-01 00:00:00+00:00,383233
03J,2012-03-01 00:00:00+00:00,185061
08E,2012-03-01 00:00:00+00:00,232580
5K9,2012-03-01 00:00:00+00:00,0
10T,2012-03-01 00:00:00+00:00,143343
06T,2012-03-01 00:00:00+00:00,327542
00T,2012-03-01 00:00:00+00:00,294667
01J,2012-03-01 00:00:00+00:00,158328
5QJ,2012-03-01 00:00:00+00:00,0
00R,2012-03-01 00:00:00+00:00,167999
11H,2012-03-01 00:00:00+00:00,475635
08Y,2012-03-01 00:00:00+00:00,220016
99A,2012-03-01 00:00:00+00:00,490718
07R,2012-03-01 00:00:00+00:00,254436
5NY,2012-03-01 00:00:00+00:00,0
04K,2012-03-01 00:00:00+00:00,342607
08M,2012-03-01 00:00:00+00:00,367991
08T,2012-03-01 00:00:00+00:00,184341
00F,2012-03-01 00:00:00+00:00,206219
10X,2012-03-01 00:00:00+00:00,260503
11N,2012-03-01 00:00:00+00:00,555618
04R,2012-03-01 00:00:00+00:00,521754
09E,2012-03-01 00:00:00+00:00,212797
00M,2012-03-01 00:00:00+00:00,289216
03N,2012-03-01 00:00:00+00:00,568153
01H,2012-03-01 00:00:00+00:00,525107
04E,2012-03-01 00:00:00+00:00,183762
08G,2012-03-01 00:00:00+00:00,280582
99N,2012-03-01 00:00:00+00:00,456581
10G,2012-03-01 00:00:00+00:00,136163
05D,2012-03-01 00:00:00+00:00,133795
11A,2012-03-01 00:00:00+00:00,539951
05T,2012-03-01 00:00:00+00:00,289044
03F,2012-03-01 00:00:00+00:00,290053
99P,2012-03-01 00:00:00+00:00,899311
12F,2012-03-01 00:00:00+00:00,330035
08L,2012-03-01 00:00:00+00:00,306272
08J,2012-03-01 00:00:00+00:00,189012
00V,2012-03-01 00:00:00+00:00,195940
08V,2012-03-01 00:00:00+00:00,278223
08W,2012-03-01 00:00:00+00:00,291902
99C,2012-03-01 00:00:00+00:00,214926
06L,2012-03-01 00:00:00+00:00,387149
99E,2012-03-01 00:00:00+00:00,262252
05C,2012-03-01 00:00:00+00:00,312557
05P,2012-03-01 00:00:00+00:00,235313
02G,2012-03-01 00:00:00+00:00,111292
02H,2012-03-01 00:00:00+00:00,320365
99D,2012-03-01 00:00:00+00:00,156440
08A,2012-03-01 00:00:00+00:00,268328
